,Employment Cost Index: Wages and Salaries: Private Industry Workers,Employment Cost Index: Total compensation: All Civilian,Employment Cost Index: Wages and salaries for Private industry workers in Aircraft manufacturing,Unemployment Rate,Labor Force Participation Rate,"All Employees, Total Nonfarm",Unemployment Rate in California,Unemployment Rate in Texas,Unemployment Rate in New York,"Unemployment Rate in Austin-Round Rock, TX (MSA)","Unemployment Rate in Dallas-Fort Worth-Arlington, TX (MSA)","Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)","Unemployment Rate in Los Angeles County, CA","Unemployment Rate in Miami-Dade County, FL","Unemployment Rate in San Francisco County/City, CA",Unemployment Rate in Great Lakes BEA Region (DISCONTINUED),Unemployment Rate in Southeast BEA Region (DISCONTINUED),Unemployment Rate in New England BEA Region (DISCONTINUED),Initial Claims,Continued Claims (Insured Unemployment),4-Week Moving Average of Initial Claims,Total Nonfarm Private Payroll Employment,Total Nonfarm Private Payroll Employment (DISCONTINUED),Adjusted Unemployment Rate in Japan (DISCONTINUED),Unemployment Rate in the United States (DISCONTINUED),Adjusted Unemployment Rate in Italy (DISCONTINUED),Change in Total Nonfarm Payroll Employment in Texas,Mining: Oil and Gas Extraction Payroll Employment in Texas,Retail Trade: Automobile Dealers Payroll Employment in Texas,All Employees: State Government in New York,Average Hourly Earnings of All Employees: Total Private in California,"All Employees: Total Nonfarm in New York City, NY","Average Weekly Wages for Employees in Total Covered Establishments in Houston-Sugar Land-Baytown, TX (MSA)","Average Weekly Wages for Employees in Total Covered Establishments in New Orleans-Metairie-Kenner, LA (MSA)","Number of Private Establishments for All Industries in Spencer County, KY",Hornstein-Kudlyak-Lange Non-Employment Index,Hornstein-Kudlyak-Lange Non-Employment Index including People Working Part-Time for Economic Reasons,Initial Claims in California,Continued Claims (Insured Unemployment) in California,Initial Claims in Texas
1994-01-01,,,,6.6,66.6,112598.0,9.3,7.0,7.6,3.7,6.1,6.1,10.4,8.7,7.3,6.203,6.15,6.197,341000.0,2633000.0,324000.0,,,,,,22.611017600000196,79.619559391,12.769076121014145,273.9,,3313.0,562.737881044828,466.217726084134,104.0,9.98224875454029,11.0448695682511,54641.0,525144.0,15307.0
1994-02-01,,,,6.6,66.6,112779.0,9.2,7.0,7.5,3.6,6.2,6.0,10.1,8.5,6.9,6.086,6.117,6.127,,,,,,,,,2.456898999999794,78.897446493,5.256807396845042,,,3318.3,,,,9.80717757599495,10.9676384285497,,,
1994-03-01,,,,6.5,66.5,113240.0,9.1,6.9,7.4,3.4,5.9,5.6,9.8,8.9,6.8,5.936,6.054,6.06,,,,,,,,,27.706005700000787,78.570426968,3.951473821615803,,,3325.5,,,,9.70104462779152,10.9155452173406,,,
1994-04-01,,,,6.4,66.5,113587.0,9.0,6.9,7.3,3.2,5.5,5.0,9.5,8.7,6.6,5.776,5.965,6.0,,,,,,,,,58.063610100000005,77.977126545,4.4343229440198195,,,3327.7,571.495419646556,469.14844825754994,106.0,9.56894481188341,10.7538371121932,,,
1994-05-01,,,,6.1,66.6,113923.0,8.9,6.8,7.1,3.1,5.3,5.0,9.1,8.2,6.2,5.628,5.867,5.947,,,,,,,,,4.476885299999594,77.701708409,5.235639183012819,,,3330.7,,,,9.35993762142212,10.5751414537628,,,
1994-06-01,,,,6.1,66.4,114237.0,8.7,6.7,7.0,3.5,5.8,5.2,9.4,8.4,6.7,5.506,5.773,5.903,,,,,,,,,28.432086900000286,77.110981595,4.390088415885307,,,3331.0,,,,9.35018301022,10.565029946089401,,,
1994-07-01,,,,6.1,66.4,114607.0,8.6,6.6,6.8,3.5,5.7,5.0,9.9,8.5,7.1,5.409,5.696,5.865,,,,,,,,,71.6783704999998,75.874142258,1.079052563173688,,,3331.0,589.915906343483,488.507939846127,107.0,9.293047180059311,10.454419400814299,,,
1994-08-01,,,,6.0,66.6,114899.0,8.5,6.4,6.7,3.4,5.4,4.8,9.5,8.5,7.0,5.312,5.63,5.827,,,,,,,,,3.3897601999997278,75.80692739,4.304319718389249,,,3330.5,,,,9.242719960853869,10.3618744696718,,,
1994-09-01,,,,5.9,66.6,115253.0,8.4,6.3,6.6,3.1,5.2,4.9,8.9,8.7,6.5,5.185,5.556,5.78,,,,,,,,,17.65164410000034,75.69152035,7.018220863512914,,,3328.2,,,,9.15194916318288,10.2632973370805,,,
1994-10-01,,,,5.8,66.7,115458.0,8.2,6.2,6.5,3.0,4.8,4.7,8.4,8.3,6.1,5.014,5.454,5.72,330000.0,2597000.0,328000.0,,,,,,30.265069199999743,76.770744296,9.145297437651001,,,3340.6,585.450110484831,472.52947697746595,108.0,9.07785162403985,10.2181449225408,62434.0,418966.0,13532.0
1994-11-01,,,,5.6,66.7,115873.0,8.0,6.1,6.3,2.9,4.8,4.7,8.0,7.7,5.5,4.828,5.33,5.649,,,,,,,,,32.983370200000536,76.339544906,8.825325664009199,,,3343.7,,,,8.97768566882152,10.128439648566399,,,
1994-12-01,,,,5.5,66.7,116176.0,7.9,5.9,6.2,2.7,4.4,4.2,7.6,7.4,5.1,4.684,5.216,5.58,,,,,,,,,27.25096029999986,75.603617951,4.731113828723399,,,3345.1,,,,8.89770373174132,10.0153114073742,,,
1995-01-01,,,,5.6,66.8,116504.0,7.8,5.9,6.2,3.2,5.3,5.2,8.5,7.7,5.9,4.624,5.144,5.52,,,,,,,,,12.638075699999717,74.7048808,0.1580648177482269,268.1,,3342.5,588.801990966828,487.63137137356597,118.0,8.91813085921853,10.1087557906922,,,
1995-02-01,,,,5.4,66.8,116693.0,7.8,5.9,6.2,2.8,4.7,5.2,7.9,7.2,5.8,4.65,5.13,5.473,,,,,,,,,24.62553509999998,73.150349888,3.2632709780553437,,,3344.9,,,,8.84717088466231,9.9319386834121,,,
1995-03-01,,,,5.4,66.7,116907.0,7.8,5.9,6.2,2.8,4.6,5.0,7.8,7.6,5.8,4.732,5.17,5.441,,,,,,,,,16.074177000000418,72.736650326,8.126157498365183,,,3345.2,,,,8.88440259618733,9.98744904936065,,,
1995-04-01,,,,5.8,66.9,117065.0,7.8,6.0,6.3,2.7,4.7,4.7,7.9,8.0,6.1,4.829,5.246,5.42,335000.0,2484000.0,339250.0,,,,,,5.449781399999665,73.721299474,7.28493072814258,,,3347.6,601.181408234693,489.991374138248,113.0,8.973348307557421,10.0647878403581,63451.0,517449.0,11938.0
1995-05-01,,,,5.6,66.5,117050.0,7.9,6.1,6.3,2.7,4.6,5.0,7.7,7.8,6.0,4.901,5.331,5.402,,,,,,,,,18.901844199999687,73.729818427,6.081002361393928,,,3346.7,,,,9.015089837205641,10.1446060753574,,,
1995-06-01,,,,5.6,66.5,117286.0,8.0,6.2,6.4,3.1,5.2,5.3,8.0,7.8,6.5,4.926,5.397,5.375,,,,,,,,,25.540058300000055,73.41747188,5.838699452824225,,,3348.4,,,,8.95173745090313,10.0751050106256,,,
1995-07-01,,,,5.7,66.6,117377.0,8.0,6.2,6.4,3.1,5.1,5.2,8.8,8.1,6.9,4.914,5.43,5.333,355000.0,2596000.0,364500.0,,,,,,26.755576500000643,73.672918238,5.186284654447415,,,3347.0,599.626158487667,496.826149160084,115.0,8.9370007703367,10.0728150217808,64843.0,399954.0,13459.0
1995-08-01,,,,5.7,66.6,117639.0,8.0,6.3,6.5,3.1,5.0,5.0,8.5,8.0,6.7,4.89,5.43,5.275,,,,,,,,,7.9089334999998755,73.78147999,4.249046240954368,,,3349.6,,,,8.97830960040642,10.1238164354854,,,
1995-09-01,,,,5.6,66.6,117880.0,7.9,6.3,6.4,3.1,4.9,5.0,8.4,8.4,6.4,4.874,5.409,5.206,,,,,,,,,30.25289309999971,73.615051927,6.688877002543681,,,3349.8,,,,8.96825496235937,10.1209305685249,,,
1995-10-01,,,,5.5,66.6,118029.0,7.9,6.2,6.4,2.9,4.6,4.8,8.1,8.0,5.8,4.873,5.379,5.135,,,,,,,,,8.895242499999767,72.952101586,1.2614079145627066,,,3348.9,601.840316496304,492.856159183116,114.0,8.961177932232681,10.083230455030199,,,
1995-11-01,,,,5.6,66.5,118168.0,7.9,6.2,6.4,2.9,4.5,5.1,8.2,7.7,5.4,4.874,5.343,5.07,,,,,,,,,24.54163620000054,72.524289975,6.4859372196073295,,,3355.1,,,,8.94790261482836,10.084085962676099,,,
1995-12-01,,,,5.6,66.4,118325.0,7.9,6.2,6.3,2.8,4.3,4.8,7.9,7.5,5.0,4.869,5.307,5.017,,,,,,,,,27.346917299999404,72.437887947,6.39597250352113,,,3355.1,,,,8.96934629358741,10.078474844057,,,
1996-01-01,,,,5.6,66.4,118318.0,7.8,6.1,6.3,3.2,4.9,5.4,9.0,7.4,5.8,4.863,5.276,4.977,,,,,,,,,-2.1744339999995645,72.39500569,10.467760003290639,260.1,,3337.3,621.945228468802,497.628720938836,116.0,8.939832759806949,9.979918348285691,,,
1996-02-01,,,,5.5,66.6,118734.0,7.8,6.1,6.3,2.9,4.4,5.2,8.6,7.4,5.2,4.864,5.255,4.945,,,,,,,,,9.638417899999695,72.46839414,5.753711763640745,,,3365.6,,,,8.91784059191496,10.0048501366663,,,
1996-03-01,,,,5.5,66.6,118990.0,7.7,6.0,6.3,2.9,4.4,5.0,8.5,7.8,5.0,4.868,5.237,4.911,,,,,,,,,17.87667049999982,72.813079862,5.789153651182111,,,3365.5,,,,8.85186415970456,9.94707917296764,,,
1996-04-01,,,,5.6,66.7,119156.0,7.6,5.9,6.3,2.8,4.1,4.5,8.3,7.5,4.9,4.865,5.21,4.869,,,,,,,,,32.79952360000061,72.873222958,5.642786225444674,,,3370.7,624.671704805784,499.395744067731,114.0,8.84346949172412,9.92596299859945,,,
1996-05-01,,,,5.6,66.7,119489.0,7.5,5.8,6.3,2.9,4.1,4.7,8.2,7.5,5.0,4.845,5.168,4.818,,,,,,,,,28.429139300000315,72.810699358,3.481508270884337,,,3380.8,,,,8.860272597650019,9.93673839681846,,,
1996-06-01,,,,5.3,66.7,119770.0,7.4,5.7,6.3,3.2,4.3,4.6,8.1,7.2,5.1,4.801,5.12,4.765,340000.0,2553000.0,345000.0,,,,,,5.167188499999611,72.655512811,2.6498630992467076,,,3387.0,,,,8.71156208110114,9.78473568671997,51643.0,420454.0,13011.0
1996-07-01,,,,5.5,66.9,120016.0,7.2,5.6,6.2,3.2,4.2,4.5,8.9,7.7,5.7,4.738,5.08,4.719,,,,,,,,,49.67373149999912,72.463975259,5.597550567486542,,,3376.0,625.384530069187,498.82738199617796,121.0,8.716602469089201,9.823511242859361,,,
1996-08-01,,,,5.1,66.7,120201.0,7.1,5.5,6.1,2.9,3.9,4.3,8.0,7.1,5.0,4.668,5.063,4.687,,,,,,,,,7.391970000000583,72.248227034,2.4506336310906818,,,3386.4,,,,8.62849963238444,9.72802421083555,,,
1996-09-01,,,,5.2,66.9,120402.0,7.1,5.5,6.1,3.0,3.8,4.5,7.8,7.4,4.7,4.612,5.075,4.67,,,,,,,,,6.042519900000116,71.737746659,1.3987152800019276,,,3390.6,,,,8.56610346775871,9.652916851370371,,,
1996-10-01,,,,5.2,67.0,120663.0,7.0,5.5,6.2,3.1,3.6,4.3,7.6,7.1,4.3,4.585,5.114,4.667,,,,,,,,,61.261879300000146,71.429878666,4.247699792234805,,,3399.3,637.434121181733,504.684952902804,122.0,8.61642644158962,9.70009047578736,,,
1996-11-01,,,,5.4,67.0,120949.0,7.0,5.6,6.3,3.4,3.8,4.4,7.6,6.9,4.0,4.587,5.159,4.67,,,,,,,,,35.84531489999972,71.316204075,2.630478898625932,,,3404.3,,,,8.696916751108889,9.70476647834489,,,
1996-12-01,,,,5.4,67.0,121145.0,7.0,5.7,6.4,3.1,3.5,4.1,7.2,6.8,3.7,4.592,5.18,4.668,,,,,,,,,4.267892399999255,71.060149109,1.9810410110957744,,,3408.1,,,,8.62180917242579,9.70195700871978,,,
1997-01-01,,,,5.3,67.0,121363.0,6.9,5.7,6.5,3.5,4.0,4.6,8.0,6.9,4.3,4.578,5.162,4.655,,,,,,,,,36.796560700000555,70.96861343,1.4506479738290334,256.9,,3414.0,645.638444779487,522.201705676283,129.0,8.617913412761661,9.67962689924845,,,
1997-02-01,,,,5.2,66.9,121675.0,6.8,5.7,6.5,3.4,4.1,4.6,7.6,6.6,3.9,4.531,5.108,4.629,333000.0,2403000.0,335500.0,,,,,,35.96899300000041,71.490851218,9.447174094386712,,,3416.4,,,,8.61887216976822,9.65573644046028,76575.0,470553.0,13614.0
