,Date,spx,MA50,RSI,MACD_signal
13113,1980-05-12,104.77999877929688,104.1438003540039,50.26042361709352,0.4303748556554363
13114,1980-05-13,106.3000030517578,104.01980041503906,56.646356648935765,0.4616562820364603
13115,1980-05-14,106.8499984741211,103.90120040893555,58.71195349794196,0.5006293807752249
13116,1980-05-15,106.98999786376952,103.81840042114258,59.24425845695468,0.543473009369602
13117,1980-05-16,107.3499984741211,103.79240036010742,60.64917896851809,0.5910015918459517
13118,1980-05-19,107.66999816894533,103.80780029296875,61.90621602007653,0.6427334818835757
13119,1980-05-20,107.62000274658205,103.83000030517579,61.57526332701157,0.6921254851293108
13120,1980-05-21,107.72000122070312,103.8288003540039,62.01270270074876,0.7374796055062071
13121,1980-05-22,109.01000213623048,103.87160034179688,67.20021662432322,0.7968256671835872
13122,1980-05-23,110.62000274658205,103.97160034179687,72.28682071884558,0.8857010805289551
13123,1980-05-27,111.4000015258789,104.09100036621093,74.36128420524726,0.9988516564413956
13124,1980-05-28,112.05999755859376,104.2870002746582,75.99844349135483,1.1295391600632827
13125,1980-05-29,110.2699966430664,104.41040023803711,64.05233984773295,1.233234747942812
13126,1980-05-30,111.23999786376952,104.54900024414063,67.07284448345135,1.3272414433929436
13127,1980-06-02,110.76000213623048,104.70180023193359,64.19821670446264,1.3995642392428387
13128,1980-06-03,110.51000213623048,104.86580032348633,62.69116363876437,1.447326212451466
13129,1980-06-04,112.61000061035156,105.13240036010743,69.22622920277642,1.507395676249838
13130,1980-06-05,112.77999877929688,105.40420028686523,69.68908660826467,1.5713068579996268
13131,1980-06-06,113.1999969482422,105.69460021972657,70.85539270643991,1.6373951236947393
13132,1980-06-09,113.70999908447266,106.00440017700195,72.25163320565807,1.7057883188574192
13133,1980-06-10,114.66000366210938,106.28400024414063,74.68454389047538,1.7833098464176833
13134,1980-06-11,116.0199966430664,106.56260025024415,77.69899855843957,1.8801223991534042
13135,1980-06-12,115.5199966430664,106.82940017700196,74.20076036397205,1.9716887315157328
13136,1980-06-13,115.80999755859376,107.09200012207032,74.90644426313197,2.055299693918311
13137,1980-06-16,116.08999633789062,107.37080001831055,75.60039330500311,2.1293241329863433
13138,1980-06-17,116.02999877929688,107.68759994506836,75.12100340508708,2.187649055111455
13139,1980-06-18,116.26000213623048,107.98880004882812,75.75569086463486,2.231759809886695
13140,1980-06-19,114.66000366210938,108.21980010986329,63.600596782004814,2.23403536805845
13141,1980-06-20,114.05999755859376,108.41940002441406,59.73018055168045,2.19530558150866
13142,1980-06-23,114.51000213623048,108.63380004882812,61.61679710191699,2.1350807334299113
13143,1980-06-24,115.13999938964844,108.87980010986328,64.14907154928699,2.0697252406237414
13144,1980-06-25,116.72000122070312,109.16160018920898,69.57107498493178,2.0250706859628895
13145,1980-06-26,116.19000244140624,109.45460021972656,65.9670451711903,1.9826605771279548
13146,1980-06-27,116.0,109.75360015869141,64.67357760772201,1.9363301889502478
