,Retailers: Inventories to Sales Ratio,Total Business: Inventories to Sales Ratio,Total Business Inventories,Exchange Rates (Value of Foreign Currency Relative to U.S. Dollar) in Belgium (DISCONTINUED),Employment in Manufacturing in the United Kingdom (DISCONTINUED),"Real Hourly Compensation in Manufacturing, CPI Basis, in Italy (DISCONTINUED)",Chicago Fed Midwest Manufacturing Index (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Steel Sector Output (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Resource Sector Output (DISCONTINUED),Current General Business Conditions; Diffusion Index for New York,Future Capital Expenditures; Diffusion Index for New York,Current New Orders; Diffusion Index for New York,Current General Activity; Diffusion Index for Federal Reserve District 3: Philadelphia,Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia,Future New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current Prices Paid; Diffusion Index for Federal Reserve District 3: Philadelphia,"Current Number of Part-Time, Temporary, and Contract Employees; Percent of Respondents Reporting Decreases for Federal Reserve District 3: Philadelphia",Current General Business Activity; Diffusion Index for Texas,Current Prices Paid for Raw Materials; Percentage Reporting Increases for Texas,Future Prices Paid for Raw Materials; Diffusion Index for Texas
2011-12-01,1.35,1.27,1567171.0,,,,88.5,87.2,88.2,11.7,23.3,10.1,2.4,14.3,38.6,13.0,26.2,16.2,-1.1,25.8,33.6
2012-01-01,1.34,1.25,1574265.0,,,,89.8,88.1,89.2,11.5,25.3,8.7,7.5,23.8,43.5,24.3,7.8,29.5,13.9,31.5,40.3
2012-02-01,1.34,1.25,1586863.0,,,,91.0,89.5,89.7,17.5,31.8,7.1,10.3,15.4,32.2,39.2,27.3,6.0,16.1,32.9,44.5
2012-03-01,1.34,1.26,1593127.0,,,,90.6,88.6,89.2,15.5,32.1,4.4,8.8,11.1,37.1,52.4,17.5,7.9,9.5,36.4,53.9
2012-04-01,1.36,1.26,1601090.0,,,,92.6,89.9,89.8,7.8,31.3,4.1,5.7,21.6,42.4,16.2,25.2,15.2,-5.8,33.7,39.0
2012-05-01,1.38,1.27,1605876.0,,,,92.0,90.0,89.5,14.2,19.3,7.1,-0.8,7.9,35.4,13.1,23.2,7.4,-1.5,32.6,34.4
2012-06-01,1.4,1.3,1611486.0,,,,92.8,90.1,89.3,1.6,21.6,3.0,-12.5,14.7,34.3,10.7,14.3,5.8,1.8,19.8,16.5
2012-07-01,1.41,1.3,1624907.0,,,,94.4,90.7,90.5,3.2,19.8,-3.3,-12.7,1.6,25.5,-1.8,9.9,7.3,-18.4,21.3,35.1
2012-08-01,1.39,1.3,1631580.0,,,,93.1,90.2,90.5,-2.7,12.9,-3.0,-2.6,9.2,25.9,19.6,20.7,14.1,-5.4,23.1,40.2
2012-09-01,1.39,1.29,1644631.0,,,,92.8,89.2,90.5,-6.9,12.8,-10.3,0.2,3.6,42.7,5.3,19.6,18.1,-6.8,23.7,46.9
2012-10-01,1.39,1.29,1645122.0,,,,92.1,89.0,89.4,-4.6,6.5,-6.6,-1.2,2.4,20.8,-2.3,34.6,9.7,-3.6,35.0,37.6
2012-11-01,1.39,1.29,1651518.0,,,,93.8,90.1,90.2,-0.8,9.0,6.1,-10.6,2.5,22.5,10.5,17.8,16.2,-8.8,28.7,38.6
2012-12-01,1.39,1.29,1658022.0,,,,95.2,90.8,91.6,-5.8,12.9,0.3,2.5,17.5,28.9,29.0,26.7,7.7,2.2,22.0,38.2
2013-01-01,1.4,1.29,1670363.0,,,,95.3,91.1,91.5,-7.5,4.3,-10.9,-1.4,9.0,31.9,12.0,28.3,16.1,5.7,27.6,38.6
2013-02-01,1.39,1.27,1672476.0,,,,96.1,93.3,91.5,9.2,14.1,12.4,-5.4,15.5,38.9,-6.6,20.8,13.2,2.7,21.1,36.8
2013-03-01,1.4,1.29,1672260.0,,,,96.2,92.2,91.2,4.9,15.1,4.7,2.1,3.3,38.0,8.7,29.5,7.6,9.4,27.2,40.0
