,Producer Price Index by Commodity: All Commodities,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp",Producer Price Index by Industry: Plastics Material and Resin Manufacturing
1945-06-01,18.3,14.2,
1945-07-01,18.3,14.2,
1945-08-01,18.2,14.2,
1945-09-01,18.1,14.2,
1945-10-01,18.2,14.2,
1945-11-01,18.4,14.2,
1945-12-01,18.4,14.2,
1946-01-01,18.4,14.2,
1946-02-01,18.5,14.2,
1946-03-01,18.8,14.2,
1946-04-01,19.0,14.3,
1946-05-01,19.1,15.6,
1946-06-01,19.4,15.6,
1946-07-01,21.5,15.6,
1946-08-01,22.2,15.6,
1946-09-01,21.4,16.7,
1946-10-01,23.1,17.1,
1946-11-01,24.1,17.5,
1946-12-01,24.3,18.0,
1947-01-01,24.5,20.1,
1947-02-01,24.7,20.1,
1947-03-01,25.3,20.6,
1947-04-01,25.1,21.1,
1947-05-01,25.0,21.2,
1947-06-01,25.0,21.3,
1947-07-01,25.3,21.6,
1947-08-01,25.6,21.9,
1947-09-01,26.1,21.9,
1947-10-01,26.4,21.9,
1947-11-01,26.7,21.9,
1947-12-01,27.2,22.9,
1948-01-01,27.7,23.3,
1948-02-01,27.2,23.8,
1948-03-01,27.2,23.8,
1948-04-01,27.4,23.8,
1948-05-01,27.5,23.8,
1948-06-01,27.7,24.0,
1948-07-01,28.0,24.3,
1948-08-01,28.2,24.3,
1948-09-01,28.1,24.3,
1948-10-01,27.8,24.3,
1948-11-01,27.8,24.2,
1948-12-01,27.6,24.1,
1949-01-01,27.3,24.0,
1949-02-01,26.8,23.9,
1949-03-01,26.8,23.8,
1949-04-01,26.5,22.9,
1949-05-01,26.3,22.7,
1949-06-01,26.0,21.7,
1949-07-01,26.0,20.3,
1949-08-01,26.0,20.2,
1949-09-01,26.1,20.2,
1949-10-01,26.0,20.1,
1949-11-01,26.0,20.2,
1949-12-01,25.9,20.2,
1950-01-01,25.9,20.2,
1950-02-01,26.1,20.2,
1950-03-01,26.1,20.2,
1950-04-01,26.1,20.2,
1950-05-01,26.4,20.2,
1950-06-01,26.6,20.2,
1950-07-01,27.3,21.1,
1950-08-01,27.9,21.6,
1950-09-01,28.4,21.7,
1950-10-01,28.6,23.5,
1950-11-01,29.0,23.5,
1950-12-01,29.7,23.5,
1951-01-01,30.5,25.4,
1951-02-01,30.9,25.4,
1951-03-01,30.9,25.4,
1951-04-01,30.8,25.5,
1951-05-01,30.7,25.8,
1951-06-01,30.5,25.8,
1951-07-01,30.3,25.6,
1951-08-01,30.1,25.6,
1951-09-01,30.1,25.6,
1951-10-01,30.1,25.6,
1951-11-01,30.1,25.6,
1951-12-01,30.1,25.6,
1952-01-01,30.0,25.6,
1952-02-01,29.8,25.6,
1952-03-01,29.8,25.6,
1952-04-01,29.6,25.3,
1952-05-01,29.6,25.3,
1952-06-01,29.5,25.3,
1952-07-01,29.6,24.5,
1952-08-01,29.8,24.5,
1952-09-01,29.6,24.5,
1952-10-01,29.5,24.5,
1952-11-01,29.3,24.3,
1952-12-01,29.1,24.3,
1953-01-01,29.1,24.3,
1953-02-01,29.1,24.3,
1953-03-01,29.2,24.3,
1953-04-01,29.0,24.3,
1953-05-01,29.1,24.3,
1953-06-01,29.0,24.3,
1953-07-01,29.4,24.3,
1953-08-01,29.3,24.3,
1953-09-01,29.4,24.3,
1953-10-01,29.2,24.5,
1953-11-01,29.1,24.5,
1953-12-01,29.2,24.5,
1954-01-01,29.4,24.5,
1954-02-01,29.3,24.5,
1954-03-01,29.3,24.5,
1954-04-01,29.4,24.5,
1954-05-01,29.4,24.5,
1954-06-01,29.2,24.5,
1954-07-01,29.3,24.5,
1954-08-01,29.3,24.5,
1954-09-01,29.2,24.5,
1954-10-01,29.1,24.5,
1954-11-01,29.2,24.5,
1954-12-01,29.0,24.5,
1955-01-01,29.2,24.6,
1955-02-01,29.3,24.6,
1955-03-01,29.2,24.6,
1955-04-01,29.3,25.4,
1955-05-01,29.1,25.4,
1955-06-01,29.3,25.4,
1955-07-01,29.3,25.4,
1955-08-01,29.4,25.4,
1955-09-01,29.6,25.4,
1955-10-01,29.6,25.5,
1955-11-01,29.5,25.5,
1955-12-01,29.5,25.5,
1956-01-01,29.7,26.1,
1956-02-01,29.8,26.1,
1956-03-01,29.9,26.1,
1956-04-01,30.1,26.4,
1956-05-01,30.3,26.4,
1956-06-01,30.3,26.4,
1956-07-01,30.2,26.4,
1956-08-01,30.4,26.4,
1956-09-01,30.6,26.4,
1956-10-01,30.6,26.4,
1956-11-01,30.7,26.4,
1956-12-01,30.8,26.4,
1957-01-01,31.0,26.4,
1957-02-01,31.0,26.4,
1957-03-01,31.0,26.4,
1957-04-01,31.1,26.4,
1957-05-01,31.0,26.4,
1957-06-01,31.1,26.4,
1957-07-01,31.3,26.4,
1957-08-01,31.4,26.4,
1957-09-01,31.3,26.4,
1957-10-01,31.2,27.1,
1957-11-01,31.3,27.1,
1957-12-01,31.4,27.1,
1958-01-01,31.5,27.1,
1958-02-01,31.5,27.1,
1958-03-01,31.7,27.1,
1958-04-01,31.6,27.1,
1958-05-01,31.7,27.1,
1958-06-01,31.6,27.1,
1958-07-01,31.6,27.1,
1958-08-01,31.6,27.1,
1958-09-01,31.6,27.1,
