,Producer Price Index by Commodity: All Commodities,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp",Producer Price Index by Industry: Plastics Material and Resin Manufacturing
1958-10-01,31.5,27.1,
1958-11-01,31.6,27.1,
1958-12-01,31.6,27.1,
1959-01-01,31.7,27.1,
1959-02-01,31.7,27.1,
1959-03-01,31.7,27.1,
1959-04-01,31.8,27.1,
1959-05-01,31.8,27.1,
1959-06-01,31.7,27.1,
1959-07-01,31.7,27.1,
1959-08-01,31.6,27.1,
1959-09-01,31.7,27.1,
1959-10-01,31.6,27.1,
1959-11-01,31.5,27.1,
1959-12-01,31.5,27.1,
1960-01-01,31.6,27.1,
1960-02-01,31.6,27.1,
1960-03-01,31.8,27.1,
1960-04-01,31.8,27.1,
1960-05-01,31.7,27.1,
1960-06-01,31.7,27.1,
1960-07-01,31.7,27.1,
1960-08-01,31.6,27.1,
1960-09-01,31.6,27.1,
1960-10-01,31.7,27.1,
1960-11-01,31.7,27.1,
1960-12-01,31.7,25.6,
1961-01-01,31.8,25.6,
1961-02-01,31.8,25.6,
1961-03-01,31.8,25.6,
1961-04-01,31.6,25.6,
1961-05-01,31.5,25.6,
1961-06-01,31.3,25.6,
1961-07-01,31.5,25.6,
1961-08-01,31.5,25.6,
1961-09-01,31.5,25.6,
1961-10-01,31.5,25.6,
1961-11-01,31.5,25.6,
1961-12-01,31.6,25.6,
1962-01-01,31.7,25.6,
1962-02-01,31.7,25.6,
1962-03-01,31.7,25.6,
1962-04-01,31.6,25.6,
1962-05-01,31.5,25.2,
1962-06-01,31.5,25.2,
1962-07-01,31.6,25.2,
1962-08-01,31.6,25.2,
1962-09-01,31.9,25.2,
1962-10-01,31.7,24.6,
1962-11-01,31.7,24.1,
1962-12-01,31.6,24.1,
1963-01-01,31.6,24.1,
1963-02-01,31.5,24.1,
1963-03-01,31.5,24.1,
1963-04-01,31.4,24.6,
1963-05-01,31.5,24.6,
1963-06-01,31.6,24.6,
1963-07-01,31.7,24.7,
1963-08-01,31.6,24.7,
1963-09-01,31.6,24.7,
1963-10-01,31.6,25.6,
1963-11-01,31.7,25.4,
1963-12-01,31.6,25.4,
1964-01-01,31.8,25.9,
1964-02-01,31.6,25.9,
1964-03-01,31.6,25.9,
1964-04-01,31.6,25.9,
1964-05-01,31.5,25.7,
1964-06-01,31.5,25.7,
1964-07-01,31.6,25.7,
1964-08-01,31.6,25.7,
1964-09-01,31.7,25.7,
1964-10-01,31.7,26.2,
1964-11-01,31.7,26.1,
1964-12-01,31.7,26.1,
1965-01-01,31.8,26.4,
1965-02-01,31.9,26.4,
1965-03-01,31.9,26.4,
1965-04-01,32.0,26.4,
1965-05-01,32.1,26.4,
1965-06-01,32.4,26.4,
1965-07-01,32.4,26.4,
1965-08-01,32.4,26.4,
1965-09-01,32.4,26.4,
1965-10-01,32.5,26.4,
1965-11-01,32.6,26.4,
1965-12-01,32.8,26.4,
1966-01-01,32.9,26.4,
1966-02-01,33.2,26.4,
1966-03-01,33.2,26.4,
1966-04-01,33.2,26.4,
1966-05-01,33.2,26.4,
1966-06-01,33.3,26.4,
1966-07-01,33.5,26.4,
1966-08-01,33.6,26.4,
1966-09-01,33.6,26.4,
1966-10-01,33.4,26.4,
1966-11-01,33.3,26.4,
1966-12-01,33.3,26.4,
1967-01-01,33.4,26.4,
1967-02-01,33.4,26.4,
1967-03-01,33.3,26.4,
1967-04-01,33.1,26.4,
1967-05-01,33.3,26.4,
1967-06-01,33.5,26.4,
1967-07-01,33.5,26.4,
1967-08-01,33.4,26.4,
1967-09-01,33.4,26.4,
1967-10-01,33.4,26.4,
1967-11-01,33.4,26.4,
1967-12-01,33.7,26.4,
1968-01-01,33.8,26.4,
1968-02-01,34.0,26.4,
1968-03-01,34.1,26.4,
1968-04-01,34.1,26.4,
1968-05-01,34.2,26.4,
1968-06-01,34.2,26.4,
1968-07-01,34.3,26.4,
1968-08-01,34.2,26.4,
1968-09-01,34.4,26.4,
1968-10-01,34.4,26.4,
1968-11-01,34.5,26.4,
1968-12-01,34.6,26.4,
1969-01-01,34.8,26.4,
1969-02-01,35.0,26.4,
1969-03-01,35.2,26.4,
1969-04-01,35.3,26.4,
1969-05-01,35.5,26.4,
1969-06-01,35.7,26.4,
1969-07-01,35.8,26.4,
1969-08-01,35.7,26.4,
1969-09-01,35.8,26.4,
1969-10-01,35.9,26.4,
1969-11-01,36.1,26.4,
1969-12-01,36.3,26.4,
1970-01-01,36.5,28.2,
1970-02-01,36.7,28.2,
1970-03-01,36.7,28.2,
1970-04-01,36.8,28.3,
1970-05-01,36.8,28.2,
1970-06-01,36.9,28.2,
1970-07-01,37.1,29.6,
1970-08-01,36.9,29.6,
1970-09-01,37.1,29.6,
1970-10-01,37.1,29.6,
1970-11-01,37.1,29.6,
1970-12-01,37.1,29.6,
1971-01-01,37.3,29.6,
1971-02-01,37.7,29.6,
1971-03-01,37.8,29.6,
1971-04-01,37.9,29.7,
1971-05-01,38.1,29.7,
1971-06-01,38.2,29.7,
1971-07-01,38.3,29.7,
1971-08-01,38.5,29.7,
1971-09-01,38.3,29.4,
1971-10-01,38.3,29.4,
1971-11-01,38.3,29.4,
1971-12-01,38.6,29.4,
1972-01-01,38.8,29.4,
1972-02-01,39.2,29.4,
1972-03-01,39.2,29.4,
1972-04-01,39.3,29.4,
1972-05-01,39.5,29.4,
1972-06-01,39.7,29.4,
1972-07-01,40.0,29.4,
1972-08-01,40.1,29.4,
1972-09-01,40.2,29.4,
1972-10-01,40.1,29.4,
1972-11-01,40.3,29.4,
1972-12-01,41.1,29.4,
1973-01-01,41.6,29.4,
1973-02-01,42.4,29.4,
1973-03-01,43.4,29.4,
1973-04-01,43.6,32.2,
1973-05-01,44.5,32.3,
1973-06-01,45.5,32.3,
1973-07-01,44.9,34.5,
1973-08-01,47.5,35.2,
1973-09-01,46.7,35.2,
1973-10-01,46.3,38.4,
1973-11-01,46.5,38.6,
1973-12-01,47.4,39.4,
1974-01-01,49.0,39.6,
1974-02-01,50.0,39.6,
1974-03-01,50.6,46.9,
1974-04-01,51.0,51.9,
1974-05-01,51.8,52.9,
1974-06-01,52.0,54.3,
1974-07-01,54.0,65.2,
1974-08-01,55.9,66.5,
1974-09-01,55.9,67.1,
1974-10-01,56.9,67.9,
1974-11-01,57.4,68.5,
1974-12-01,57.3,69.3,
1975-01-01,57.4,74.5,
1975-02-01,57.2,74.5,
1975-03-01,56.9,75.1,
1975-04-01,57.5,75.0,
1975-05-01,57.9,75.0,
1975-06-01,58.0,74.5,
1975-07-01,58.7,74.8,
1975-08-01,59.0,74.8,
1975-09-01,59.4,74.7,
1975-10-01,59.8,74.7,
1975-11-01,59.5,74.7,
1975-12-01,59.7,74.8,
1976-01-01,59.9,75.5,
1976-02-01,59.9,75.8,
1976-03-01,60.0,75.8,
1976-04-01,60.6,75.8,
1976-05-01,60.8,75.4,
1976-06-01,61.2,75.4,71.0
1976-07-01,61.6,75.4,71.9
1976-08-01,61.4,75.3,71.8
1976-09-01,61.8,75.2,71.5
1976-10-01,61.9,75.2,71.5
1976-11-01,62.0,75.2,71.5
1976-12-01,62.5,75.2,71.4
1977-01-01,62.8,75.0,71.0
1977-02-01,63.5,74.9,70.9
1977-03-01,64.1,74.9,71.5
1977-04-01,64.9,75.5,72.0
1977-05-01,65.2,75.5,72.3
1977-06-01,65.0,75.4,72.7
1977-07-01,65.1,75.4,73.5
1977-08-01,65.0,74.4,73.5
1977-09-01,65.3,73.2,73.6
1977-10-01,65.6,72.8,73.5
1977-11-01,65.8,72.7,73.4
1977-12-01,66.2,70.3,73.2
1978-01-01,66.8,69.3,73.3
1978-02-01,67.5,69.2,73.1
1978-03-01,68.1,68.8,73.3
1978-04-01,69.0,68.9,73.4
1978-05-01,69.5,68.9,73.9
1978-06-01,70.0,68.8,74.1
1978-07-01,70.4,68.9,74.2
1978-08-01,70.4,68.9,73.9
1978-09-01,71.0,68.9,73.8
1978-10-01,71.8,74.4,73.7
1978-11-01,72.1,74.3,73.6
1978-12-01,72.7,74.3,74.2
1979-01-01,73.8,76.8,75.3
1979-02-01,74.9,76.9,75.9
1979-03-01,75.8,77.6,77.5
1979-04-01,76.9,80.2,80.8
1979-05-01,77.5,81.0,83.5
1979-06-01,78.0,81.3,84.2
1979-07-01,79.2,84.5,88.7
1979-08-01,79.6,84.6,90.7
1979-09-01,80.9,84.6,91.5
1979-10-01,82.1,89.0,94.3
1979-11-01,82.6,89.2,95.0
1979-12-01,83.4,89.2,95.2
1980-01-01,85.2,94.1,98.3
1980-02-01,86.9,94.0,99.2
1980-03-01,87.5,94.1,100.0
1980-04-01,87.8,101.7,103.9
1980-05-01,88.3,101.7,104.5
1980-06-01,88.7,102.3,104.3
1980-07-01,90.3,102.4,103.7
1980-08-01,91.5,102.4,102.5
1980-09-01,91.7,102.4,100.5
1980-10-01,92.8,102.8,100.4
1980-11-01,93.2,102.9,100.5
1980-12-01,93.8,102.9,100.0
1981-01-01,95.2,102.9,101.1
1981-02-01,96.1,102.9,101.9
1981-03-01,97.0,102.9,102.8
1981-04-01,98.0,104.0,105.1
1981-05-01,98.3,104.0,106.2
1981-06-01,98.5,104.0,107.0
